"filename", "language", "Python", "SQL", "comment", "blank", "total"
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/api/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/api/models/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/api/models/model.py", "Python", 95, 0, 8, 30, 133
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/api/routes/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/api/routes/auth.py", "Python", 90, 0, 10, 22, 122
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/api/utils/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/api/utils/user_utils.py", "Python", 23, 0, 1, 3, 27
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/core/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/core/authentication.py", "Python", 20, 0, 1, 3, 24
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/core/config.py", "Python", 3, 0, 1, 1, 5
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/core/database.py", "Python", 24, 0, 2, 8, 34
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/core/models.py", "Python", 77, 0, 7, 23, 107
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/db/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/db/ddl.sql", "SQL", 0, 76, 7, 11, 94
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/services/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/services/chat.py", "Python", 18, 0, 4, 6, 28
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/services/chatbot_service.py", "Python", 42, 0, 21, 12, 75
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/services/emotion_analysis.py", "Python", 34, 0, 10, 15, 59
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/services/intent_recognition.py", "Python", 14, 0, 4, 9, 27
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/services/sentiment_analysis.py", "Python", 14, 0, 4, 8, 26
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/services/suicide_predictor.py", "Python", 19, 0, 4, 8, 31
"/home/sagarnildass/python_notebooks/artelus/Codes/mental_health/backend/app/services/user.py", "Python", 27, 0, 5, 9, 41
"Total", "-", 500, 76, 89, 176, 841
